,time,close,high,low,open,volumefrom,volumeto
0,2019-08-15,10308.51,10451.61,9497.12,10031.89,84438.15,842979140.9
1,2019-08-14,10031.89,10873.44,9924.58,10872.0,70125.86,728247545.72
2,2019-08-13,10872.0,11439.48,10765.3,11387.41,43742.98,483240069.77
3,2019-08-12,11387.41,11554.74,11240.38,11549.06,20181.72,229908138.9
4,2019-08-11,11549.06,11584.35,11119.32,11293.59,25734.51,292814721.19
5,2019-08-10,11293.59,11971.35,11232.42,11865.21,40869.27,470049694.45
6,2019-08-09,11865.21,12027.57,11674.06,11982.8,39230.82,464214586.73
7,2019-08-08,11982.8,12042.87,11498.04,11974.28,49871.24,588463519.89
8,2019-08-07,11974.28,12138.55,11393.98,11467.1,70893.9,834719365.81
9,2019-08-06,11467.1,12316.85,11224.1,11807.96,80694.71,949534020.01
10,2019-08-05,11807.96,11945.38,10978.89,10978.91,74748.53,870917186.96
11,2019-08-04,10978.91,11074.95,10572.24,10820.41,39795.33,431699306.35
12,2019-08-03,10820.41,10915.0,10509.35,10528.99,34102.93,367536516.75
13,2019-08-02,10528.99,10666.64,10340.82,10409.79,44213.09,463688251.79
14,2019-08-01,10409.79,10488.81,9890.49,10089.25,43505.11,442037342.05
15,2019-07-31,10089.25,10123.94,9581.6,9595.52,42030.01,416343142.53
16,2019-07-30,9595.52,9749.53,9391.78,9506.93,28856.19,276402322.56
17,2019-07-29,9506.93,9717.69,9386.9,9531.77,31434.4,299936368.39
18,2019-07-28,9531.77,9591.52,9135.64,9478.32,28313.55,267243770.14
19,2019-07-27,9478.32,10202.95,9310.47,9847.45,53081.42,512612117.07
20,2019-07-26,9847.45,9890.05,9668.52,9882.43,31960.31,312717110.04
21,2019-07-25,9882.43,10184.43,9744.7,9772.14,40285.56,403576364.36
22,2019-07-24,9772.14,9920.54,9535.78,9854.15,54750.78,531611909.42
23,2019-07-23,9854.15,10328.44,9820.61,10325.87,52754.02,529438124.08
24,2019-07-22,10325.87,10676.6,10072.07,10586.71,50574.02,524442852.25
25,2019-07-21,10586.71,10833.99,10329.89,10759.42,38379.41,405339891.1
26,2019-07-20,10759.42,11094.32,10379.19,10532.94,56766.57,608954333.23
27,2019-07-19,10532.94,10757.41,10135.16,10638.35,62995.33,658190962.53
28,2019-07-18,10638.35,10776.54,9292.61,9696.15,102443.07,1033842556.65
29,2019-07-17,9696.15,9982.24,9086.51,9423.44,101032.08,965256823.84
30,2019-07-16,9423.44,11025.76,9366.82,10850.26,113537.84,1140137759.72
31,2019-07-15,10850.26,11070.18,9877.02,10204.41,92742.77,965178341.63
32,2019-07-14,10204.41,11447.92,10118.85,11363.97,76310.21,814667763.32
33,2019-07-13,11363.97,11835.87,10827.53,11797.37,59187.84,668325183.28
34,2019-07-12,11797.37,11931.91,11096.61,11343.12,55994.89,647690095.15
35,2019-07-11,11343.12,12099.91,11002.39,12099.12,102929.11,1185222449.66
36,2019-07-10,12099.12,13183.73,11569.94,12567.02,124523.09,1554955347.89
37,2019-07-09,12567.02,12808.06,12117.31,12296.16,79607.47,993891866.34
38,2019-07-08,12296.16,12386.28,11339.02,11474.28,63847.27,762033323.29
39,2019-07-07,11474.28,11605.43,11109.42,11248.94,36847.21,418161890.29
